date,product,region,sales_amount,units_sold,cost
2024-01-06,Keyboard,North,61.84,6,37.11
2024-01-06,Keyboard,South,38.73,3,23.24
2024-01-06,Keyboard,East,66.4,6,39.84
2024-01-06,Keyboard,West,57.44,5,34.46
2024-01-07,Laptop,North,278.57,27,167.14
2024-01-07,Laptop,South,163.02,16,97.81
2024-01-07,Laptop,East,275.55,27,165.33
2024-01-07,Laptop,West,166.36,16,99.81
2024-01-07,Desktop,North,203.42,20,122.05
2024-01-07,Desktop,South,185.04,18,111.02
2024-01-07,Desktop,East,147.42,14,88.45
2024-01-07,Desktop,West,143.57,14,86.14
2024-01-07,Tablet,North,152.21,15,91.33
2024-01-07,Tablet,South,104.39,10,62.63
2024-01-07,Tablet,East,106.85,10,64.11
2024-01-07,Tablet,West,126.28,12,75.77
2024-01-07,Monitor,North,84.74,8,50.84
2024-01-07,Monitor,South,80.14,8,48.09
2024-01-07,Monitor,East,79.57,7,47.74
2024-01-07,Monitor,West,101.96,10,61.18
2024-01-07,Keyboard,North,55.47,5,33.28
2024-01-07,Keyboard,South,44.72,4,26.83
2024-01-07,Keyboard,East,64.02,6,38.41
2024-01-07,Keyboard,West,42.87,4,25.72
2024-01-08,Laptop,North,259.75,25,155.85
2024-01-08,Laptop,South,223.97,22,134.38
2024-01-08,Laptop,East,177.55,17,106.53
2024-01-08,Laptop,West,215.18,21,129.11
2024-01-08,Desktop,North,195.69,19,117.41
2024-01-08,Desktop,South,157.34,15,94.4
2024-01-08,Desktop,East,142.34,14,85.4
2024-01-08,Desktop,West,127.52,12,76.51
2024-01-08,Tablet,North,162.21,16,97.33
2024-01-08,Tablet,South,118.01,11,70.81
2024-01-08,Tablet,East,143.32,14,85.99
2024-01-08,Tablet,West,132.02,13,79.21
2024-01-08,Monitor,North,90.83,9,54.5
2024-01-08,Monitor,South,77.98,7,46.79
2024-01-08,Monitor,East,96.11,9,57.67
2024-01-08,Monitor,West,75.28,7,45.17
2024-01-08,Keyboard,North,79.68,7,47.81
2024-01-08,Keyboard,South,50.37,5,30.22
2024-01-08,Keyboard,East,47.82,4,28.69
2024-01-08,Keyboard,West,57.33,5,34.4
2024-01-09,Laptop,North,217.94,21,130.77
2024-01-09,Laptop,South,211.02,21,126.61
2024-01-09,Laptop,East,270.18,27,162.11
2024-01-09,Laptop,West,186.24,18,111.74
2024-01-09,Desktop,North,215.78,21,129.47
2024-01-09,Desktop,South,150.69,15,90.41
2024-01-09,Desktop,East,194.3,19,116.58
2024-01-09,Desktop,West,200.82,20,120.49
2024-01-09,Tablet,North,146.52,14,87.91
2024-01-09,Tablet,South,101.65,10,60.99
2024-01-09,Tablet,East,121.55,12,72.93
2024-01-09,Tablet,West,111.83,11,67.1
2024-01-09,Monitor,North,100.1,10,60.06
2024-01-09,Monitor,South,79.59,7,47.76
2024-01-09,Monitor,East,96.43,9,57.86
2024-01-09,Monitor,West,94.27,9,56.56
2024-01-09,Keyboard,North,63.37,6,38.02
2024-01-09,Keyboard,South,57.25,5,34.35
2024-01-09,Keyboard,East,55.8,5,33.48
2024-01-09,Keyboard,West,73.12,7,43.87
2024-01-10,Laptop,North,277.02,27,166.21
2024-01-10,Laptop,South,167.73,16,100.64
2024-01-10,Laptop,East,197.95,19,118.77
2024-01-10,Laptop,West,226.55,22,135.93
2024-01-10,Desktop,North,184.84,18,110.9
2024-01-10,Desktop,South,157.61,15,94.57
2024-01-10,Desktop,East,186.68,18,112.01
2024-01-10,Desktop,West,157.42,15,94.45
2024-01-10,Tablet,North,134.41,13,80.64
2024-01-10,Tablet,South,89.98,8,53.99
2024-01-10,Tablet,East,131.13,13,78.68
2024-01-10,Tablet,West,142.66,14,85.6
2024-01-10,Monitor,North,104.88,10,62.93
2024-01-10,Monitor,South,62.89,6,37.74
2024-01-10,Monitor,East,95.6,9,57.36
2024-01-10,Monitor,West,89.45,8,53.67
2024-01-10,Keyboard,North,55.67,5,33.4
2024-01-10,Keyboard,South,48.76,4,29.25
2024-01-10,Keyboard,East,58.8,5,35.28
2024-01-10,Keyboard,West,44.45,4,26.67
2024-01-11,Laptop,North,268.83,26,161.3
2024-01-11,Laptop,South,207.11,20,124.26
2024-01-11,Laptop,East,270.36,27,162.22
2024-01-11,Laptop,West,244.91,24,146.94
2024-01-11,Desktop,North,154.77,15,92.86
2024-01-11,Desktop,South,124.98,12,74.99
2024-01-11,Desktop,East,188.71,18,113.23
2024-01-11,Desktop,West,171.53,17,102.92
2024-01-11,Tablet,North,164.7,16,98.82
2024-01-11,Tablet,South,177.59,17,106.56
2024-01-11,Tablet,East,152.08,15,91.25
2024-01-11,Tablet,West,148.42,14,89.05
2024-01-11,Monitor,North,116.12,11,69.67
2024-01-11,Monitor,South,83.82,8,50.29
2024-01-11,Monitor,East,89.69,8,53.81
2024-01-11,Monitor,West,94.43,9,56.66
2024-01-11,Keyboard,North,57.03,5,34.22
2024-01-11,Keyboard,South,46.39,4,27.84
2024-01-11,Keyboard,East,54.65,5,32.79
2024-01-11,Keyboard,West,53.94,5,32.36
2024-01-12,Laptop,North,340.74,34,204.44
2024-01-12,Laptop,South,142.64,14,85.58
2024-01-12,Laptop,East,258.6,25,155.16
2024-01-12,Laptop,West,166.12,16,99.67
2024-01-12,Desktop,North,180.31,18,108.19
2024-01-12,Desktop,South,166.84,16,100.11
2024-01-12,Desktop,East,178.56,17,107.14
2024-01-12,Desktop,West,136.63,13,81.98
2024-01-12,Tablet,North,138.99,13,83.4
2024-01-12,Tablet,South,126.84,12,76.11
2024-01-12,Tablet,East,127.11,12,76.27
2024-01-12,Tablet,West,132.6,13,79.56
2024-01-12,Monitor,North,103.62,10,62.17
2024-01-12,Monitor,South,70.18,7,42.11
2024-01-12,Monitor,East,122.68,12,73.61
2024-01-12,Monitor,West,93.41,9,56.05
2024-01-12,Keyboard,North,46.13,4,27.68
2024-01-12,Keyboard,South,49.52,4,29.71
2024-01-12,Keyboard,East,53.53,5,32.12
2024-01-12,Keyboard,West,60.02,6,36.01
2024-01-13,Laptop,North,230.33,23,138.2
2024-01-13,Laptop,South,191.05,19,114.63
2024-01-13,Laptop,East,253.95,25,152.37
2024-01-13,Laptop,West,241.69,24,145.01
2024-01-13,Desktop,North,161.74,16,97.04
2024-01-13,Desktop,South,138.83,13,83.3
2024-01-13,Desktop,East,166.21,16,99.73
2024-01-13,Desktop,West,147.09,14,88.25
2024-01-13,Tablet,North,193.45,19,116.07
2024-01-13,Tablet,South,123.05,12,73.83
2024-01-13,Tablet,East,117.41,11,70.44
2024-01-13,Tablet,West,145.95,14,87.57
2024-01-13,Monitor,North,134.1,13,80.46
2024-01-13,Monitor,South,88.81,8,53.28
2024-01-13,Monitor,East,74.86,7,44.92
2024-01-13,Monitor,West,80.48,8,48.29
2024-01-13,Keyboard,North,76.12,7,45.67
2024-01-13,Keyboard,South,43.76,4,26.26
2024-01-13,Keyboard,East,62.98,6,37.79
2024-01-13,Keyboard,West,59.74,5,35.84
2024-01-14,Laptop,North,226.93,22,136.16
2024-01-14,Laptop,South,193.62,19,116.17
2024-01-14,Laptop,East,131.65,13,78.99
2024-01-14,Laptop,West,186.19,18,111.71
2024-01-14,Desktop,North,188.41,18,113.05
2024-01-14,Desktop,South,121.15,12,72.69
2024-01-14,Desktop,East,219.36,21,131.62
2024-01-14,Desktop,West,130.51,13,78.31
2024-01-14,Tablet,North,146.68,14,88.01
2024-01-14,Tablet,South,119.25,11,71.55
2024-01-14,Tablet,East,171.7,17,103.02
2024-01-14,Tablet,West,104.31,10,62.58
2024-01-14,Monitor,North,120.87,12,72.52
2024-01-14,Monitor,South,78.2,7,46.92
2024-01-14,Monitor,East,82.49,8,49.49
2024-01-14,Monitor,West,92.31,9,55.39
2024-01-14,Keyboard,North,66.87,6,40.12
2024-01-14,Keyboard,South,44.76,4,26.85
2024-01-14,Keyboard,East,60.23,6,36.14
2024-01-14,Keyboard,West,51.34,5,30.8
2024-01-15,Laptop,North,265.83,26,159.5
2024-01-15,Laptop,South,214.19,21,128.51
2024-01-15,Laptop,East,292.27,29,175.36
2024-01-15,Laptop,West,180.99,18,108.59
2024-01-15,Desktop,North,253.9,25,152.34
2024-01-15,Desktop,South,107.7,10,64.62
2024-01-15,Desktop,East,176.19,17,105.72
2024-01-15,Desktop,West,176.83,17,106.1
2024-01-15,Tablet,North,163.12,16,97.87
2024-01-15,Tablet,South,107.7,10,64.62
2024-01-15,Tablet,East,139.84,13,83.9
2024-01-15,Tablet,West,122.0,12,73.2
2024-01-15,Monitor,North,96.21,9,57.73
2024-01-15,Monitor,South,87.7,8,52.62
2024-01-15,Monitor,East,100.69,10,60.41
2024-01-15,Monitor,West,78.93,7,47.36
2024-01-15,Keyboard,North,73.53,7,44.12
2024-01-15,Keyboard,South,51.15,5,30.69
2024-01-15,Keyboard,East,66.69,6,40.01
2024-01-15,Keyboard,West,59.25,5,35.55
2024-01-16,Laptop,North,233.34,23,140.0
2024-01-16,Laptop,South,182.26,18,109.36
2024-01-16,Laptop,East,265.91,26,159.55
2024-01-16,Laptop,West,237.63,23,142.58
2024-01-16,Desktop,North,196.82,19,118.09
2024-01-16,Desktop,South,150.42,15,90.25
2024-01-16,Desktop,East,212.56,21,127.54
2024-01-16,Desktop,West,151.18,15,90.71
2024-01-16,Tablet,North,169.73,16,101.84
2024-01-16,Tablet,South,115.16,11,69.09
2024-01-16,Tablet,East,140.44,14,84.26
2024-01-16,Tablet,West,151.37,15,90.82
2024-01-16,Monitor,North,117.16,11,70.3
2024-01-16,Monitor,South,87.74,8,52.64
2024-01-16,Monitor,East,113.73,11,68.24
2024-01-16,Monitor,West,87.98,8,52.79
2024-01-16,Keyboard,North,71.93,7,43.16
2024-01-16,Keyboard,South,47.25,4,28.35
2024-01-16,Keyboard,East,62.99,6,37.79
2024-01-16,Keyboard,West,53.85,5,32.31
2024-01-17,Laptop,North,268.1,26,160.86
2024-01-17,Laptop,South,214.53,21,128.72
2024-01-17,Laptop,East,215.56,21,129.34
2024-01-17,Laptop,West,283.28,28,169.97
2024-01-17,Desktop,North,171.3,17,102.78
2024-01-17,Desktop,South,124.26,12,74.55
2024-01-17,Desktop,East,210.58,21,126.35
2024-01-17,Desktop,West,183.19,18,109.92
2024-01-17,Tablet,North,172.25,17,103.35
2024-01-17,Tablet,South,129.25,12,77.55
2024-01-17,Tablet,East,145.29,14,87.18
2024-01-17,Tablet,West,116.15,11,69.69
2024-01-17,Monitor,North,106.94,10,64.16
2024-01-17,Monitor,South,72.07,7,43.24
2024-01-17,Monitor,East,109.9,10,65.94
2024-01-17,Monitor,West,86.44,8,51.86
2024-01-17,Keyboard,North,58.72,5,35.23
2024-01-17,Keyboard,South,47.45,4,28.47
2024-01-17,Keyboard,East,64.05,6,38.43
2024-01-17,Keyboard,West,50.9,5,30.54
2024-01-18,Laptop,North,236.43,23,141.86
2024-01-18,Laptop,South,206.11,20,123.66
2024-01-18,Laptop,East,251.95,25,151.17
2024-01-18,Laptop,West,206.49,20,123.89
2024-01-18,Desktop,North,186.81,18,112.08
2024-01-18,Desktop,South,154.34,15,92.61
2024-01-18,Desktop,East,147.06,14,88.24
2024-01-18,Desktop,West,134.6,13,80.76
2024-01-18,Tablet,North,144.1,14,86.46
2024-01-18,Tablet,South,116.26,11,69.75
2024-01-18,Tablet,East,152.47,15,91.48
2024-01-18,Tablet,West,159.57,15,95.74
2024-01-18,Monitor,North,118.76,11,71.26
2024-01-18,Monitor,South,78.08,7,46.85
2024-01-18,Monitor,East,97.29,9,58.38
2024-01-18,Monitor,West,76.65,7,45.99
2024-01-18,Keyboard,North,66.34,6,39.81
2024-01-18,Keyboard,South,47.93,4,28.76
2024-01-18,Keyboard,East,63.63,6,38.18
2024-01-18,Keyboard,West,49.22,4,29.53
2024-01-19,Laptop,North,286.15,28,171.69
2024-01-19,Laptop,South,241.97,24,145.18
2024-01-19,Laptop,East,241.57,24,144.94
2024-01-19,Laptop,West,234.93,23,140.96
2024-01-19,Desktop,North,219.22,21,131.53
2024-01-19,Desktop,South,142.32,14,85.39
2024-01-19,Desktop,East,189.42,18,113.65
2024-01-19,Desktop,West,167.44,16,100.46
2024-01-19,Tablet,North,162.58,16,97.55
2024-01-19,Tablet,South,107.83,10,64.7
2024-01-19,Tablet,East,147.58,14,88.55
2024-01-19,Tablet,West,142.69,14,85.61
2024-01-19,Monitor,North,127.88,12,76.73
2024-01-19,Monitor,South,90.6,9,54.36
2024-01-19,Monitor,East,126.49,12,75.89
2024-01-19,Monitor,West,79.94,7,47.97
2024-01-19,Keyboard,North,74.71,7,44.83
2024-01-19,Keyboard,South,51.38,5,30.83
2024-01-19,Keyboard,East,79.36,7,47.61
2024-01-19,Keyboard,West,49.66,4,29.79
2024-01-20,Laptop,North,238.63,23,143.18
2024-01-20,Laptop,South,185.46,18,111.28
2024-01-20,Laptop,East,176.37,17,105.82
2024-01-20,Laptop,West,208.28,20,124.97
2024-01-20,Desktop,North,181.15,18,108.69
2024-01-20,Desktop,South,154.28,15,92.57
2024-01-20,Desktop,East,193.3,19,115.98
2024-01-20,Desktop,West,210.25,21,126.15
2024-01-20,Tablet,North,181.85,18,109.11
2024-01-20,Tablet,South,111.64,11,66.99
2024-01-20,Tablet,East,130.09,13,78.05
2024-01-20,Tablet,West,143.29,14,85.97
2024-01-20,Monitor,North,88.53,8,53.12
2024-01-20,Monitor,South,100.44,10,60.26
2024-01-20,Monitor,East,114.15,11,68.49
2024-01-20,Monitor,West,83.99,8,50.39
2024-01-20,Keyboard,North,51.8,5,31.08
2024-01-20,Keyboard,South,59.55,5,35.73
2024-01-20,Keyboard,East,60.67,6,36.4
2024-01-20,Keyboard,West,65.3,6,39.18
2024-01-21,Laptop,North,212.87,21,127.72
2024-01-21,Laptop,South,186.52,18,111.91
2024-01-21,Laptop,East,247.92,24,148.75
2024-01-21,Laptop,West,226.63,22,135.98
2024-01-21,Desktop,North,190.55,19,114.33
2024-01-21,Desktop,South,164.64,16,98.78
2024-01-21,Desktop,East,159.38,15,95.63
2024-01-21,Desktop,West,165.71,16,99.43
2024-01-21,Tablet,North,164.76,16,98.85
2024-01-21,Tablet,South,129.95,12,77.97
2024-01-21,Tablet,East,162.74,16,97.64
2024-01-21,Tablet,West,114.89,11,68.93
2024-01-21,Monitor,North,86.01,8,51.61
2024-01-21,Monitor,South,94.88,9,56.93
2024-01-21,Monitor,East,103.48,10,62.09
2024-01-21,Monitor,West,81.11,8,48.66
2024-01-21,Keyboard,North,81.53,8,48.92
2024-01-21,Keyboard,South,51.46,5,30.87
2024-01-21,Keyboard,East,71.66,7,43.0
2024-01-21,Keyboard,West,56.81,5,34.09
2024-01-22,Laptop,North,345.85,34,207.51
2024-01-22,Laptop,South,251.14,25,150.68
2024-01-22,Laptop,East,240.81,24,144.48
2024-01-22,Laptop,West,255.53,25,153.32
2024-01-22,Desktop,North,221.17,22,132.7
2024-01-22,Desktop,South,180.52,18,108.31
2024-01-22,Desktop,East,162.88,16,97.73
2024-01-22,Desktop,West,185.22,18,111.13
2024-01-22,Tablet,North,185.86,18,111.51
2024-01-22,Tablet,South,93.76,9,56.25
2024-01-22,Tablet,East,125.98,12,75.59
2024-01-22,Tablet,West,99.12,9,59.47
2024-01-22,Monitor,North,104.78,10,62.87
2024-01-22,Monitor,South,89.25,8,53.55
2024-01-22,Monitor,East,119.44,11,71.66
2024-01-22,Monitor,West,91.44,9,54.87
2024-01-22,Keyboard,North,82.57,8,49.54
2024-01-22,Keyboard,South,41.62,4,24.97
2024-01-22,Keyboard,East,48.2,4,28.92
2024-01-22,Keyboard,West,56.18,5,33.71
2024-01-23,Laptop,North,286.87,28,172.12
2024-01-23,Laptop,South,203.9,20,122.34
2024-01-23,Laptop,East,182.07,18,109.24
2024-01-23,Laptop,West,224.87,22,134.92
2024-01-23,Desktop,North,169.57,16,101.74
2024-01-23,Desktop,South,167.15,16,100.29
2024-01-23,Desktop,East,196.79,19,118.08
2024-01-23,Desktop,West,149.51,14,89.7
2024-01-23,Tablet,North,152.73,15,91.64
2024-01-23,Tablet,South,105.71,10,63.43
2024-01-23,Tablet,East,148.94,14,89.36
2024-01-23,Tablet,West,153.72,15,92.23
2024-01-23,Monitor,North,95.02,9,57.01
2024-01-23,Monitor,South,87.36,8,52.41
2024-01-23,Monitor,East,93.12,9,55.87
2024-01-23,Monitor,West,81.5,8,48.9
2024-01-23,Keyboard,North,67.3,6,40.38
2024-01-23,Keyboard,South,44.21,4,26.53
2024-01-23,Keyboard,East,58.01,5,34.8
2024-01-23,Keyboard,West,47.9,4,28.74
2024-01-24,Laptop,North,345.16,34,207.09
2024-01-24,Laptop,South,206.77,20,124.06
2024-01-24,Laptop,East,228.47,22,137.08
2024-01-24,Laptop,West,235.11,23,141.07
2024-01-24,Desktop,North,202.79,20,121.67
2024-01-24,Desktop,South,149.89,14,89.93
2024-01-24,Desktop,East,203.87,20,122.32
2024-01-24,Desktop,West,188.56,18,113.14
2024-01-24,Tablet,North,153.2,15,91.92
2024-01-24,Tablet,South,114.16,11,68.5
2024-01-24,Tablet,East,145.49,14,87.29
2024-01-24,Tablet,West,95.78,9,57.47
2024-01-24,Monitor,North,87.95,8,52.77
2024-01-24,Monitor,South,97.09,9,58.25
2024-01-24,Monitor,East,122.34,12,73.4
2024-01-24,Monitor,West,88.49,8,53.09
2024-01-24,Keyboard,North,73.8,7,44.28
2024-01-24,Keyboard,South,53.56,5,32.13
2024-01-24,Keyboard,East,88.29,8,52.97
2024-01-24,Keyboard,West,65.57,6,39.34
2024-01-25,Laptop,North,271.19,27,162.72
2024-01-25,Laptop,South,181.05,18,108.63
2024-01-25,Laptop,East,199.8,19,119.88
2024-01-25,Laptop,West,235.94,23,141.56
2024-01-25,Desktop,North,186.43,18,111.86
2024-01-25,Desktop,South,126.34,12,75.8
2024-01-25,Desktop,East,173.61,17,104.17
2024-01-25,Desktop,West,148.04,14,88.82
2024-01-25,Tablet,North,201.92,20,121.15
2024-01-25,Tablet,South,138.39,13,83.03
2024-01-25,Tablet,East,151.53,15,90.92
2024-01-25,Tablet,West,164.54,16,98.72
2024-01-25,Monitor,North,111.43,11,66.86
2024-01-25,Monitor,South,73.44,7,44.06
2024-01-25,Monitor,East,121.23,12,72.74
2024-01-25,Monitor,West,98.4,9,59.04
2024-01-25,Keyboard,North,59.61,5,35.77
2024-01-25,Keyboard,South,50.43,5,30.26
2024-01-25,Keyboard,East,55.98,5,33.59
2024-01-25,Keyboard,West,47.09,4,28.25
2024-01-26,Laptop,North,310.5,31,186.3
2024-01-26,Laptop,South,259.42,25,155.65
2024-01-26,Laptop,East,207.91,20,124.75
2024-01-26,Laptop,West,247.86,24,148.71
2024-01-26,Desktop,North,190.3,19,114.18
2024-01-26,Desktop,South,146.04,14,87.62
2024-01-26,Desktop,East,175.89,17,105.53
2024-01-26,Desktop,West,153.79,15,92.27
2024-01-26,Tablet,North,167.34,16,100.41
2024-01-26,Tablet,South,111.26,11,66.76
2024-01-26,Tablet,East,157.79,15,94.68
2024-01-26,Tablet,West,137.68,13,82.61
2024-01-26,Monitor,North,107.42,10,64.45
2024-01-26,Monitor,South,73.35,7,44.01
2024-01-26,Monitor,East,94.01,9,56.41
2024-01-26,Monitor,West,101.45,10,60.87
2024-01-26,Keyboard,North,73.8,7,44.28
2024-01-26,Keyboard,South,45.37,4,27.22
2024-01-26,Keyboard,East,64.34,6,38.6
2024-01-26,Keyboard,West,63.38,6,38.03
2024-01-27,Laptop,North,218.41,21,131.05
2024-01-27,Laptop,South,223.56,22,134.13
2024-01-27,Laptop,East,233.44,23,140.06
2024-01-27,Laptop,West,249.21,24,149.53
2024-01-27,Desktop,North,188.28,18,112.97
2024-01-27,Desktop,South,120.11,12,72.07
2024-01-27,Desktop,East,151.2,15,90.72
2024-01-27,Desktop,West,175.15,17,105.09
2024-01-27,Tablet,North,172.72,17,103.63
2024-01-27,Tablet,South,110.68,11,66.41
2024-01-27,Tablet,East,165.83,16,99.5
2024-01-27,Tablet,West,109.35,10,65.61
2024-01-27,Monitor,North,110.45,11,66.27
2024-01-27,Monitor,South,70.47,7,42.28
2024-01-27,Monitor,East,93.52,9,56.11
2024-01-27,Monitor,West,93.41,9,56.04
2024-01-27,Keyboard,North,61.88,6,37.13
2024-01-27,Keyboard,South,49.63,4,29.78
2024-01-27,Keyboard,East,72.13,7,43.28
2024-01-27,Keyboard,West,53.7,5,32.22
2024-01-28,Laptop,North,309.94,30,185.96
2024-01-28,Laptop,South,179.39,17,107.63
2024-01-28,Laptop,East,274.02,27,164.41
2024-01-28,Laptop,West,276.46,27,165.88
2024-01-28,Desktop,North,143.16,14,85.89
2024-01-28,Desktop,South,141.28,14,84.77
2024-01-28,Desktop,East,206.68,20,124.01
2024-01-28,Desktop,West,170.34,17,102.2
2024-01-28,Tablet,North,175.93,17,105.56
2024-01-28,Tablet,South,116.15,11,69.69
2024-01-28,Tablet,East,155.64,15,93.38
2024-01-28,Tablet,West,137.13,13,82.28
2024-01-28,Monitor,North,128.76,12,77.25
2024-01-28,Monitor,South,86.7,8,52.02
2024-01-28,Monitor,East,107.07,10,64.24
2024-01-28,Monitor,West,88.34,8,53.01
2024-01-28,Keyboard,North,65.58,6,39.35
2024-01-28,Keyboard,South,49.55,4,29.73
2024-01-28,Keyboard,East,67.39,6,40.43
2024-01-28,Keyboard,West,55.15,5,33.09
2024-01-29,Laptop,North,291.62,29,174.97
2024-01-29,Laptop,South,266.93,26,160.16
2024-01-29,Laptop,East,286.5,28,171.9
2024-01-29,Laptop,West,224.54,22,134.73
2024-01-29,Desktop,North,243.32,24,145.99
2024-01-29,Desktop,South,149.91,14,89.94
2024-01-29,Desktop,East,142.87,14,85.72
2024-01-29,Desktop,West,153.06,15,91.84
2024-01-29,Tablet,North,128.3,12,76.98
2024-01-29,Tablet,South,120.84,12,72.5
2024-01-29,Tablet,East,155.02,15,93.01
2024-01-29,Tablet,West,170.77,17,102.46
2024-01-29,Monitor,North,117.18,11,70.31
2024-01-29,Monitor,South,81.99,8,49.19
2024-01-29,Monitor,East,114.05,11,68.43
2024-01-29,Monitor,West,67.2,6,40.32
