,mark,model,generation_name,year,mileage,vol_engine,fuel,city,province,price
47,opel,combo,gen-d-2011,2016,141859,1248,Diesel,Katowice,Śląskie,39900
48,opel,combo,gen-d-2011,2012,195000,1598,Diesel,Radom,Mazowieckie,25900
49,opel,combo,gen-d-2011,2015,180000,1598,Diesel,Chmieleń,Dolnośląskie,32900
50,opel,combo,gen-d-2011,2018,107515,1499,Diesel,Piaseczno,Mazowieckie,62000
51,opel,combo,gen-d-2011,2017,149000,1598,Diesel,Góra Kalwaria,Mazowieckie,39852
52,opel,combo,gen-d-2011,2017,101800,1248,Diesel,Legnica,Dolnośląskie,44990
53,opel,combo,gen-d-2011,2012,164000,1598,Diesel,Wodzisław Śląski,Śląskie,15500
54,opel,combo,gen-d-2011,2016,124000,1368,Gasoline,Wolbrom,Małopolskie,40900
55,opel,combo,gen-d-2011,2018,91000,1600,Diesel,Warszawa,Mazowieckie,53600
56,opel,combo,gen-d-2011,2016,155450,1598,Diesel,Pogorzela,Wielkopolskie,37500
57,opel,combo,gen-d-2011,2015,125327,1598,Diesel,Zawiercie,Śląskie,39900
58,opel,combo,gen-d-2011,2018,185000,1248,Diesel,Wyszków,Mazowieckie,39975
59,opel,combo,gen-d-2011,2015,195000,1248,Diesel,Jasło,Podkarpackie,20999
60,opel,combo,gen-d-2011,2015,135000,1248,Diesel,Kraków,Małopolskie,39000
61,opel,combo,gen-d-2011,2018,135403,1499,Diesel,Piaseczno,Mazowieckie,62000
62,opel,combo,gen-d-2011,2018,117320,1598,Diesel,Tarnowskie Góry,Śląskie,53874
63,opel,combo,gen-d-2011,2016,133700,1598,Diesel,Stróża,Małopolskie,38900
64,opel,vectra,gen-b-1995-2002,1998,240000,1799,LPG,Brodnica,Kujawsko-pomorskie,2900
65,opel,vectra,gen-b-1995-2002,1999,310000,1799,Gasoline,Góra Kalwaria,Mazowieckie,2600
66,opel,vectra,gen-b-1995-2002,2001,345000,1796,Gasoline,Maków Mazowiecki,Mazowieckie,6000
67,opel,vectra,gen-b-1995-2002,1999,292356,1994,Diesel,Postolin,Pomorskie,3900
68,opel,vectra,gen-b-1995-2002,2000,175000,1796,Gasoline,Bydgoszcz,Kujawsko-pomorskie,4999
69,opel,vectra,gen-b-1995-2002,1998,401315,1998,LPG,Mogilno,Kujawsko-pomorskie,2000
70,opel,vectra,gen-b-1995-2002,2002,149337,1994,Diesel,Paniówki,Śląskie,7490
71,opel,vectra,gen-b-1995-2002,2000,241252,1598,Gasoline,Złotów,Wielkopolskie,5499
72,opel,vectra,gen-b-1995-2002,2000,131000,2498,Gasoline,Świdnica,Dolnośląskie,9600
73,opel,vectra,gen-b-1995-2002,2000,200000,1796,LPG,Jaworzno,Śląskie,4700
74,opel,vectra,gen-b-1995-2002,2000,143000,1796,Gasoline,Radom,Mazowieckie,6000
75,opel,vectra,gen-b-1995-2002,2001,255000,1796,Gasoline,Nieporęt,Mazowieckie,2550
76,opel,vectra,gen-b-1995-2002,1996,120000,1796,Gasoline,Wrocław,Dolnośląskie,4000
77,opel,vectra,gen-b-1995-2002,1998,303000,1998,LPG,Ostrów Wielkopolski,Wielkopolskie,2350
78,opel,vectra,gen-b-1995-2002,2000,260000,1598,LPG,Grajewo,Podlaskie,3000
79,opel,vectra,gen-b-1995-2002,1996,142000,1998,Gasoline,Łask,Łódzkie,4400
80,opel,vectra,gen-b-1995-2002,2000,198465,1598,Gasoline,Grudziądz,Kujawsko-pomorskie,3900
81,opel,vectra,gen-b-1995-2002,1999,326492,1799,LPG,Jelcz-Laskowice,Dolnośląskie,4500
82,opel,vectra,gen-b-1995-2002,1998,122057,1998,Gasoline,Długołęka,Dolnośląskie,6300
83,opel,vectra,gen-b-1995-2002,1998,198600,1799,Gasoline,Świebodzice,Dolnośląskie,1950
84,opel,vectra,gen-b-1995-2002,1999,275162,1598,Gasoline,Wrocław,Dolnośląskie,2800
85,opel,vectra,gen-b-1995-2002,1998,200000,1799,LPG,Działoszyce,Świętokrzyskie,2999
86,opel,vectra,gen-b-1995-2002,1997,113000,2498,Gasoline,Łódź,Łódzkie,12900
87,opel,vectra,gen-b-1995-2002,1999,304000,1598,LPG,Zduńska Wola,Łódzkie,5900
88,opel,vectra,gen-b-1995-2002,1999,290000,1995,Diesel,Stare Babice,Mazowieckie,3300
89,opel,vectra,gen-b-1995-2002,2001,250000,2198,LPG,Stare Babice,Mazowieckie,5900
90,opel,vectra,gen-b-1995-2002,1997,153000,1598,Gasoline,Krasnystaw,Lubelskie,2999
91,opel,vectra,gen-b-1995-2002,2004,258015,1796,Gasoline,Kutno,Łódzkie,7400
92,opel,vectra,gen-b-1995-2002,1998,152000,1598,Gasoline,Orzesze,Śląskie,3500
93,opel,vectra,gen-c-2002-2008,2007,229000,1910,Diesel,Łagów,Świętokrzyskie,14900
94,opel,vectra,gen-c-2002-2008,2008,253477,1910,Diesel,Szczyglice,Dolnośląskie,9999
95,opel,vectra,gen-c-2002-2008,2008,230000,1910,Diesel,Nowy Tomyśl,Wielkopolskie,19500
96,opel,vectra,gen-c-2002-2008,2007,208700,1796,LPG,Szczecin,Zachodniopomorskie,14900
97,opel,vectra,gen-c-2002-2008,2006,240000,1910,Diesel,Mielec,Podkarpackie,8900
98,opel,vectra,gen-c-2002-2008,2004,272130,2171,Diesel,Jankowo Gdańskie,Pomorskie,6499
99,opel,vectra,gen-c-2002-2008,2005,260918,1910,Diesel,Bukowiec,Kujawsko-pomorskie,11000
100,opel,vectra,gen-c-2002-2008,2004,226012,1796,LPG,Gdańsk,Pomorskie,6500
101,opel,vectra,gen-c-2002-2008,2005,143000,2198,Gasoline,Stargard Szczeciński,Zachodniopomorskie,15998
102,opel,vectra,gen-c-2002-2008,2007,330000,1796,LPG,Ostróda,Warmińsko-mazurskie,12900
103,opel,vectra,gen-c-2002-2008,2007,315142,1910,Diesel,Zwoleń,Mazowieckie,13900
104,opel,vectra,gen-c-2002-2008,2007,245626,1998,Gasoline,Płock,Mazowieckie,11900
105,opel,vectra,gen-c-2002-2008,2002,198000,1796,Gasoline,Dąbrowa Górnicza,Śląskie,9900
106,opel,vectra,gen-c-2002-2008,2007,180000,1796,Gasoline,Września,Wielkopolskie,18900
107,opel,vectra,gen-c-2002-2008,2006,170000,1796,Gasoline,Tomaszów Bolesławiecki,Dolnośląskie,12500
108,opel,vectra,gen-c-2002-2008,2002,271000,1796,LPG,Tarczyn,Mazowieckie,7900
109,opel,vectra,gen-c-2002-2008,2005,149000,1796,Gasoline,Września,Wielkopolskie,13900
110,opel,vectra,gen-c-2002-2008,2008,187000,1796,Gasoline,Goleniów,Zachodniopomorskie,12900
111,opel,vectra,gen-c-2002-2008,2004,207713,3175,Gasoline,Michałowice,Małopolskie,14999
112,opel,vectra,gen-c-2002-2008,2006,197193,1910,Diesel,Siedlce,Małopolskie,15600
113,opel,vectra,gen-c-2002-2008,2008,310000,1910,Diesel,Góra Kalwaria,Mazowieckie,8900
114,opel,vectra,gen-c-2002-2008,2004,122000,1796,Gasoline,Kłodzko,Dolnośląskie,9900
115,opel,vectra,gen-c-2002-2008,2006,218400,2792,Gasoline,Mogilno,Kujawsko-pomorskie,15999
116,opel,vectra,gen-c-2002-2008,2007,253000,1910,Diesel,Niepołomice,Małopolskie,7500
117,opel,vectra,gen-c-2002-2008,2008,276795,1910,Diesel,Nowe Proboszczewice,Mazowieckie,9000
118,opel,vectra,gen-c-2002-2008,2004,253601,1796,Gasoline,Zabrze,Śląskie,11000
119,opel,vectra,gen-c-2002-2008,2002,191350,1796,Gasoline,Zduńska Wola,Łódzkie,8990
120,opel,vectra,gen-c-2002-2008,2008,214000,1910,Diesel,Józefosław,Mazowieckie,13000
121,opel,vectra,gen-c-2002-2008,2006,233790,2792,Gasoline,Lublin,Lubelskie,25900
122,opel,vectra,gen-c-2002-2008,2007,236000,1910,Diesel,Piaseczno,Mazowieckie,15900
123,opel,vectra,gen-c-2002-2008,2005,272600,1910,Diesel,Kostrzyn,Wielkopolskie,7600
124,opel,vectra,gen-c-2002-2008,2008,180000,1910,Diesel,Szczecin,Zachodniopomorskie,13500
125,opel,vectra,gen-c-2002-2008,2007,229000,1910,Diesel,Łagów,Świętokrzyskie,14900
126,opel,vectra,gen-c-2002-2008,2008,253477,1910,Diesel,Szczyglice,Dolnośląskie,9999
127,opel,vectra,gen-c-2002-2008,2008,230000,1910,Diesel,Nowy Tomyśl,Wielkopolskie,19500
128,opel,vectra,gen-c-2002-2008,2007,208700,1796,LPG,Szczecin,Zachodniopomorskie,14900
129,opel,vectra,gen-c-2002-2008,2006,240000,1910,Diesel,Mielec,Podkarpackie,8900
130,opel,vectra,gen-c-2002-2008,2004,272130,2171,Diesel,Jankowo Gdańskie,Pomorskie,6499
131,opel,vectra,gen-c-2002-2008,2005,260918,1910,Diesel,Bukowiec,Kujawsko-pomorskie,11000
132,opel,vectra,gen-c-2002-2008,2004,226012,1796,LPG,Gdańsk,Pomorskie,6500
133,opel,vectra,gen-c-2002-2008,2005,143000,2198,Gasoline,Stargard Szczeciński,Zachodniopomorskie,15998
134,opel,vectra,gen-c-2002-2008,2007,330000,1796,LPG,Ostróda,Warmińsko-mazurskie,12900
135,opel,vectra,gen-c-2002-2008,2007,315142,1910,Diesel,Zwoleń,Mazowieckie,13900
136,opel,vectra,gen-c-2002-2008,2007,245626,1998,Gasoline,Płock,Mazowieckie,11900
137,opel,vectra,gen-c-2002-2008,2002,198000,1796,Gasoline,Dąbrowa Górnicza,Śląskie,9900
138,opel,vectra,gen-c-2002-2008,2007,180000,1796,Gasoline,Września,Wielkopolskie,18900
139,opel,vectra,gen-c-2002-2008,2006,170000,1796,Gasoline,Tomaszów Bolesławiecki,Dolnośląskie,12500
140,opel,vectra,gen-c-2002-2008,2002,271000,1796,LPG,Tarczyn,Mazowieckie,7900
141,opel,vectra,gen-c-2002-2008,2005,149000,1796,Gasoline,Września,Wielkopolskie,13900
142,opel,vectra,gen-c-2002-2008,2008,187000,1796,Gasoline,Goleniów,Zachodniopomorskie,12900
143,opel,vectra,gen-c-2002-2008,2004,207713,3175,Gasoline,Michałowice,Małopolskie,14999
144,opel,vectra,gen-c-2002-2008,2006,197193,1910,Diesel,Siedlce,Małopolskie,15600
145,opel,vectra,gen-c-2002-2008,2008,310000,1910,Diesel,Góra Kalwaria,Mazowieckie,8900
146,opel,vectra,gen-c-2002-2008,2004,122000,1796,Gasoline,Kłodzko,Dolnośląskie,9900
147,opel,vectra,gen-c-2002-2008,2006,218400,2792,Gasoline,Mogilno,Kujawsko-pomorskie,15999
148,opel,vectra,gen-c-2002-2008,2007,253000,1910,Diesel,Niepołomice,Małopolskie,7500
149,opel,vectra,gen-c-2002-2008,2008,276795,1910,Diesel,Nowe Proboszczewice,Mazowieckie,9000
150,opel,vectra,gen-c-2002-2008,2004,253601,1796,Gasoline,Zabrze,Śląskie,11000
151,opel,vectra,gen-c-2002-2008,2002,191350,1796,Gasoline,Zduńska Wola,Łódzkie,8990
152,opel,vectra,gen-c-2002-2008,2008,214000,1910,Diesel,Józefosław,Mazowieckie,13000
153,opel,vectra,gen-c-2002-2008,2006,233790,2792,Gasoline,Lublin,Lubelskie,25900
154,opel,vectra,gen-c-2002-2008,2007,236000,1910,Diesel,Piaseczno,Mazowieckie,15900
155,opel,vectra,gen-c-2002-2008,2005,272600,1910,Diesel,Kostrzyn,Wielkopolskie,7600
156,opel,vectra,gen-c-2002-2008,2008,180000,1910,Diesel,Szczecin,Zachodniopomorskie,13500
157,opel,vectra,gen-c-2002-2008,2005,327255,1910,Diesel,Kraków,Małopolskie,10900
158,opel,vectra,gen-c-2002-2008,2004,398119,1910,Diesel,Lublin,Lubelskie,4500
159,opel,vectra,gen-c-2002-2008,2004,169117,1597,Gasoline,Poznań,Wielkopolskie,8500
160,opel,vectra,gen-c-2002-2008,2006,157000,1796,Gasoline,Sade Budy,Mazowieckie,16800
161,opel,vectra,gen-c-2002-2008,2007,320000,1910,Diesel,Michów,Lubelskie,8500
162,opel,vectra,gen-c-2002-2008,2008,206570,2198,Gasoline,Konin,Śląskie,18900
163,opel,vectra,gen-c-2002-2008,2008,232000,1910,Diesel,Częstochowa,Śląskie,18900
164,opel,vectra,gen-c-2002-2008,2005,375000,1910,Diesel,Rudawa,Małopolskie,3800
165,opel,vectra,gen-c-2002-2008,2002,242000,1796,Gasoline,Borów,Dolnośląskie,7900
166,opel,vectra,gen-c-2002-2008,2007,221000,1910,Diesel,Szynkielów,Łódzkie,13500
167,opel,vectra,gen-c-2002-2008,2006,268000,1910,Diesel,Sochaczew,Mazowieckie,7900
168,opel,vectra,gen-c-2002-2008,2007,132000,1598,Gasoline,Zawisna,Śląskie,13900
169,opel,vectra,gen-c-2002-2008,2005,236215,2198,Gasoline,Środa Śląska,Dolnośląskie,7850
170,opel,vectra,gen-c-2002-2008,2006,160000,2198,Gasoline,Bydgoszcz,Kujawsko-pomorskie,15200
171,opel,vectra,gen-c-2002-2008,2003,350000,3175,Gasoline,Drawsko Pomorskie,Zachodniopomorskie,6850
172,opel,vectra,gen-c-2002-2008,2008,238000,2958,Diesel,Poznań,Wielkopolskie,11000
173,opel,vectra,gen-c-2002-2008,2007,199000,2792,Gasoline,Swarzędz,Wielkopolskie,19999
174,opel,vectra,gen-c-2002-2008,2005,301000,1998,LPG,Szamotuły,Wielkopolskie,8500
175,opel,vectra,gen-c-2002-2008,2003,286000,1796,Gasoline,Panki,Śląskie,7000
176,opel,vectra,gen-c-2002-2008,2005,296100,1995,Diesel,Siedlce,Mazowieckie,5500
177,opel,vectra,gen-c-2002-2008,2007,173000,2792,Gasoline,Poznań,Wielkopolskie,28500
178,opel,vectra,gen-c-2002-2008,2002,173000,1796,Gasoline,Mysłowice,Śląskie,6900
179,opel,vectra,gen-c-2002-2008,2002,109900,1796,Gasoline,Mogilno,Kujawsko-pomorskie,8999
180,opel,vectra,gen-c-2002-2008,2002,152700,1796,Gasoline,Żywocice,Opolskie,7999
181,opel,vectra,gen-c-2002-2008,2002,220000,2198,LPG,Szczecin,Zachodniopomorskie,4500
182,opel,vectra,gen-c-2002-2008,2006,400000,1910,Diesel,Grodzisk Mazowiecki,Mazowieckie,11000
183,opel,vectra,gen-c-2002-2008,2006,191000,1796,Gasoline,Płońsk,Mazowieckie,13900
184,opel,vectra,gen-c-2002-2008,2008,283340,1910,Diesel,Białystok,Podlaskie,10500
185,opel,vectra,gen-c-2002-2008,2005,174000,3000,Diesel,Sade Budy,Mazowieckie,7200
186,opel,vectra,gen-c-2002-2008,2008,223000,1910,Diesel,Witkowo,Wielkopolskie,16950
187,opel,vectra,gen-c-2002-2008,2003,281185,1796,LPG,Poznań,Wielkopolskie,13000
188,opel,vectra,gen-c-2002-2008,2008,320000,1910,Diesel,Stargard Szczeciński,Zachodniopomorskie,8900
189,opel,adam,,2013,101514,1398,Gasoline,Warszawa,Mazowieckie,29900
190,opel,adam,,2014,98317,1398,LPG,Janki,Mazowieckie,36900
191,opel,adam,,2017,96511,1364,Gasoline,Warszawa,Mazowieckie,48900
192,opel,adam,,2013,141399,1398,Gasoline,Warszawa,Mazowieckie,31300
193,opel,adam,,2014,60936,1398,Gasoline,Warszawa,Mazowieckie,40900
194,opel,adam,,2015,72279,999,Gasoline,Lublin,Lubelskie,43500
195,opel,adam,,2015,91773,1398,Gasoline,Katowice,Śląskie,35700
196,opel,adam,,2018,34000,1398,Gasoline,Złotniki,Opolskie,43500
197,opel,adam,,2014,100053,1398,Gasoline,Leoncin,Mazowieckie,31500
198,opel,adam,,2014,109330,1398,Gasoline,Warszawa,Mazowieckie,32500
199,opel,adam,,2014,121311,1398,Gasoline,Warszawa,Mazowieckie,33500
200,opel,adam,,2013,91512,1398,Gasoline,Warszawa,Mazowieckie,32900
201,opel,adam,,2018,8049,1398,Gasoline,Warszawa,Mazowieckie,46600
202,opel,adam,,2014,81932,1229,Gasoline,Lublin,Lubelskie,27900
203,opel,adam,,2015,95988,999,Gasoline,Katowice,Śląskie,41500
204,opel,adam,,2017,91955,1229,Gasoline,Warszawa,Mazowieckie,36500
205,opel,adam,,2015,39007,1398,Gasoline,Warszawa,Mazowieckie,38900
206,opel,adam,,2015,106000,999,Gasoline,Łódź,Łódzkie,38000
207,opel,adam,,2015,91000,1229,Gasoline,Biała Podlaska,Lubelskie,35300
208,opel,adam,,2018,37000,1229,Gasoline,Gliwice,Śląskie,37900
209,opel,adam,,2014,78000,1229,Gasoline,Krzyszkowice,Małopolskie,20999
210,opel,adam,,2019,21000,1398,Gasoline,Gniezno,Wielkopolskie,47800
211,opel,adam,,2013,50000,1229,Gasoline,Wągrowiec,Wielkopolskie,22900
212,opel,adam,,2013,102748,1398,Gasoline,Krotoszyn,Wielkopolskie,28500
213,opel,adam,,2015,10000,1398,Gasoline,Piotrków Trybunalski,Łódzkie,31000
214,opel,adam,,2013,130000,1398,Gasoline,Raszyn,Mazowieckie,33900
215,opel,adam,,2014,36434,1398,Gasoline,Masłowo,Wielkopolskie,31999
216,opel,adam,,2017,48000,999,Gasoline,Warszawa,Mazowieckie,35500
217,opel,adam,,2016,54000,999,Gasoline,Pszczyna,Śląskie,36900
218,opel,adam,,2013,18690,1398,Gasoline,Warszawa,Mazowieckie,26999
219,opel,adam,,2019,27900,1398,Gasoline,Bydgoszcz,Kujawsko-pomorskie,49000
220,opel,adam,,2013,162663,1398,Gasoline,Gdańsk,Pomorskie,24900
221,opel,adam,,2013,101514,1398,Gasoline,Warszawa,Mazowieckie,29900
222,opel,adam,,2014,98317,1398,LPG,Janki,Mazowieckie,36900
223,opel,adam,,2017,96511,1364,Gasoline,Warszawa,Mazowieckie,48900
224,opel,adam,,2013,141399,1398,Gasoline,Warszawa,Mazowieckie,31300
225,opel,adam,,2014,60936,1398,Gasoline,Warszawa,Mazowieckie,40900
226,opel,adam,,2015,72279,999,Gasoline,Lublin,Lubelskie,43500
227,opel,adam,,2015,91773,1398,Gasoline,Katowice,Śląskie,35700
228,opel,adam,,2018,34000,1398,Gasoline,Złotniki,Opolskie,43500
229,opel,adam,,2014,100053,1398,Gasoline,Leoncin,Mazowieckie,31500
230,opel,adam,,2014,109330,1398,Gasoline,Warszawa,Mazowieckie,32500
231,opel,adam,,2014,121311,1398,Gasoline,Warszawa,Mazowieckie,33500
232,opel,adam,,2013,91512,1398,Gasoline,Warszawa,Mazowieckie,32900
233,opel,adam,,2018,8049,1398,Gasoline,Warszawa,Mazowieckie,46600
234,opel,adam,,2014,81932,1229,Gasoline,Lublin,Lubelskie,27900
235,opel,adam,,2015,95988,999,Gasoline,Katowice,Śląskie,41500
236,opel,adam,,2017,91955,1229,Gasoline,Warszawa,Mazowieckie,36500
237,opel,adam,,2015,39007,1398,Gasoline,Warszawa,Mazowieckie,38900
238,opel,adam,,2015,106000,999,Gasoline,Łódź,Łódzkie,38000
239,opel,adam,,2015,91000,1229,Gasoline,Biała Podlaska,Lubelskie,35300
240,opel,adam,,2018,37000,1229,Gasoline,Gliwice,Śląskie,37900
241,opel,adam,,2014,78000,1229,Gasoline,Krzyszkowice,Małopolskie,20999
242,opel,adam,,2019,21000,1398,Gasoline,Gniezno,Wielkopolskie,47800
243,opel,adam,,2013,50000,1229,Gasoline,Wągrowiec,Wielkopolskie,22900
244,opel,adam,,2013,102748,1398,Gasoline,Krotoszyn,Wielkopolskie,28500
245,opel,adam,,2015,10000,1398,Gasoline,Piotrków Trybunalski,Łódzkie,31000
246,opel,adam,,2013,130000,1398,Gasoline,Raszyn,Mazowieckie,33900
247,opel,adam,,2014,36434,1398,Gasoline,Masłowo,Wielkopolskie,31999
248,opel,adam,,2017,48000,999,Gasoline,Warszawa,Mazowieckie,35500
249,opel,adam,,2016,54000,999,Gasoline,Pszczyna,Śląskie,36900
250,opel,adam,,2013,18690,1398,Gasoline,Warszawa,Mazowieckie,26999
251,opel,adam,,2019,27900,1398,Gasoline,Bydgoszcz,Kujawsko-pomorskie,49000
252,opel,adam,,2013,162663,1398,Gasoline,Gdańsk,Pomorskie,24900
253,opel,adam,,2015,67661,1398,Gasoline,Swarzędz,Wielkopolskie,39900
254,opel,adam,,2018,43000,1398,Gasoline,Gniezno,Wielkopolskie,34900
255,opel,adam,,2015,61000,1229,Gasoline,Bydgoszcz,Kujawsko-pomorskie,30900
256,opel,adam,,2015,55000,1398,Gasoline,Starogard Gdański,Pomorskie,32900
257,opel,adam,,2017,22060,1398,Gasoline,Chełmno,Kujawsko-pomorskie,38900
258,opel,adam,,2015,14000,1398,Gasoline,Wągrowiec,Wielkopolskie,31900
259,opel,adam,,2014,50158,1398,Gasoline,Konin,Wielkopolskie,31900
260,opel,adam,,2016,80637,1398,Gasoline,Starogard Gdański,Pomorskie,32999
261,opel,adam,,2014,120000,1400,LPG,Kowala,Mazowieckie,25900
262,opel,adam,,2016,27053,1229,Gasoline,Sierakowice,Pomorskie,32900
263,opel,adam,,2015,122298,1398,Gasoline,Syców,Dolnośląskie,28900
264,opel,adam,,2016,78000,1398,Gasoline,Lidzbark Warmiński,Warmińsko-mazurskie,35900
265,opel,adam,,2013,170000,1229,Gasoline,Paczków,Opolskie,28400
266,opel,adam,,2013,196400,1398,LPG,Dębica,Podkarpackie,24500
267,opel,adam,,2013,140800,1398,Gasoline,Kielce,Świętokrzyskie,29900
268,opel,adam,,2015,120480,1398,Gasoline,Kraków,Małopolskie,49900
269,opel,adam,,2013,72000,1229,Gasoline,Radom,Mazowieckie,25900
270,opel,adam,,2013,130000,1398,Gasoline,Białystok,Podlaskie,26900
271,opel,adam,,2013,77900,1398,Gasoline,Bytom,Śląskie,29900
272,opel,adam,,2016,67000,1229,Gasoline,Poręba,Śląskie,35900
273,opel,adam,,2013,98793,1229,Gasoline,Gostyń,Wielkopolskie,26999
274,opel,adam,,2017,23000,999,Gasoline,Kraśnik,Lubelskie,35900
275,opel,adam,,2018,27016,1229,Gasoline,Łódź,Łódzkie,39900
276,opel,adam,,2018,15716,1398,Gasoline,Cisew,Wielkopolskie,33900
277,opel,adam,,2019,14961,1398,Gasoline,Runów,Mazowieckie,55000
278,opel,adam,,2013,79000,1200,Gasoline,Sade Budy,Mazowieckie,32500
279,opel,adam,,2018,6100,1398,Gasoline,Poznań,Wielkopolskie,44280
280,opel,adam,,2014,155000,1229,Gasoline,Kutno,Łódzkie,24950
281,opel,adam,,2021,12111,1100,Diesel,Radom,Mazowieckie,100000
282,opel,adam,,2017,30946,999,Gasoline,Inowrocław,Kujawsko-pomorskie,37900
283,opel,adam,,2014,48000,1229,Gasoline,Świebodzin,Lubuskie,36999
284,opel,adam,,2015,57500,1398,Gasoline,Kraków,Małopolskie,34900
285,opel,agila,gen-b-2008,2009,149000,996,Gasoline,Warszawa,Mazowieckie,11500
286,opel,agila,gen-b-2008,2011,100942,1242,Gasoline,Skarżysko-Kamienna,Świętokrzyskie,16300
287,opel,agila,gen-b-2008,2009,57700,1242,Gasoline,Bydgoszcz,Kujawsko-pomorskie,13400
288,opel,agila,gen-b-2008,2008,93000,996,Gasoline,Gryfino,Zachodniopomorskie,12800
289,opel,agila,gen-b-2008,2009,146000,996,Gasoline,Bytom,Śląskie,13500
290,opel,agila,gen-b-2008,2010,155324,1242,Gasoline,Przemyśl,Podkarpackie,21500
291,opel,agila,gen-b-2008,2008,125000,996,Gasoline,Orchowo,Wielkopolskie,11900
